Window: 1680134400000 to 1680393600000, Duration: 136 ms
Window: 1680393600000 to 1680652800000, Duration: 26 ms
Window: 1680652800000 to 1680912000000, Duration: 15 ms
Window: 1680912000000 to 1681171200000, Duration: 7 ms
Window: 1681171200000 to 1681430400000, Duration: 5 ms
Window: 1681430400000 to 1681689600000, Duration: 5 ms
Window: 1681689600000 to 1681948800000, Duration: 17 ms
Window: 1681948800000 to 1682208000000, Duration: 8 ms
