window start,window end,vault_id,min,25perc,50perc,75perc,max,count
2023-04-02 00:00:00,2023-04-03 00:00:00,1102,142.00,18021.46,21811.24,23611.99,65933.00,714
2023-04-02 00:00:00,2023-04-03 00:00:00,1101,388.00,15651.48,19340.85,22939.25,45770.00,731
2023-04-02 00:00:00,2023-04-03 00:00:00,1100,2345.00,18694.06,20476.45,23748.10,68498.00,737
2023-04-02 00:00:00,2023-04-03 00:00:00,1109,111.00,17497.99,19541.07,21805.24,84533.00,729
2023-04-02 00:00:00,2023-04-03 00:00:00,1108,697.00,17018.00,20275.70,22776.89,41598.00,694
2023-04-03 00:00:00,2023-04-04 00:00:00,1120,142.00,36040.00,36044.45,36049.20,42579.00,710
2023-04-03 00:00:00,2023-04-04 00:00:00,1118,285.00,37550.00,37554.36,37558.81,37573.00,717
2023-04-03 00:00:00,2023-04-04 00:00:00,1117,819.00,18011.23,20416.10,22296.41,37681.00,737
2023-04-03 00:00:00,2023-04-04 00:00:00,1116,5446.00,15835.28,17460.02,20791.12,85236.00,728
2023-04-03 00:00:00,2023-04-04 00:00:00,1115,1363.00,14901.28,17056.71,21365.58,38066.00,719
2023-04-03 00:00:00,2023-04-04 00:00:00,1114,1707.00,17512.05,18630.98,21640.75,38839.00,717
2023-04-03 00:00:00,2023-04-04 00:00:00,1113,16.00,38486.00,38493.28,38505.62,68037.00,746
2023-04-03 00:00:00,2023-04-04 00:00:00,1112,190.00,17237.79,18690.26,22532.64,51055.00,740
2023-04-03 00:00:00,2023-04-04 00:00:00,1111,158.00,39429.18,39446.26,39454.51,39465.00,733
2023-04-03 00:00:00,2023-04-04 00:00:00,1119,1262.00,17416.88,19006.64,22270.40,36932.00,764
2023-04-03 00:00:00,2023-04-04 00:00:00,1091,47.00,49190.00,49194.48,49199.94,69811.00,734
2023-04-03 00:00:00,2023-04-04 00:00:00,1090,47.00,49475.08,49496.90,49506.42,76037.00,745
2023-04-03 00:00:00,2023-04-04 00:00:00,1110,110.00,17180.97,18522.37,22628.84,69807.00,727
2023-04-03 00:00:00,2023-04-04 00:00:00,1099,491.00,15360.20,18771.49,22788.24,76052.00,754
2023-04-03 00:00:00,2023-04-04 00:00:00,1098,4068.00,17889.23,21233.45,23060.59,47577.00,741
2023-04-03 00:00:00,2023-04-04 00:00:00,1097,125.00,18252.10,21178.95,23082.50,77852.00,732
2023-04-03 00:00:00,2023-04-04 00:00:00,1096,377.00,47099.00,47104.03,47110.73,69821.00,740
2023-04-03 00:00:00,2023-04-04 00:00:00,1095,1839.00,16665.26,18709.92,22403.29,45463.00,740
2023-04-03 00:00:00,2023-04-04 00:00:00,1094,5448.00,16742.54,18008.25,21567.31,44672.00,720
2023-04-03 00:00:00,2023-04-04 00:00:00,1093,63.00,48543.49,48548.88,48554.00,67739.00,756
2023-04-03 00:00:00,2023-04-04 00:00:00,1092,79.00,48905.00,48910.88,48916.00,60049.00,731
2023-04-03 00:00:00,2023-04-04 00:00:00,1107,606.00,16574.34,17905.03,22450.46,42943.00,727
2023-04-03 00:00:00,2023-04-04 00:00:00,1106,3191.00,16553.17,18290.01,21131.56,73780.00,711
2023-04-03 00:00:00,2023-04-04 00:00:00,1105,142.00,17437.91,19157.31,22157.67,43300.00,734
2023-04-03 00:00:00,2023-04-04 00:00:00,1104,143.00,14838.86,17076.10,21564.56,45089.00,715
2023-04-03 00:00:00,2023-04-04 00:00:00,1103,235.00,14886.77,18079.04,21235.00,70558.00,749
2023-04-03 00:00:00,2023-04-04 00:00:00,1102,2820.00,17845.78,21506.11,23637.28,65965.00,706
2023-04-03 00:00:00,2023-04-04 00:00:00,1101,403.00,15675.86,19197.14,22962.25,45797.00,758
2023-04-03 00:00:00,2023-04-04 00:00:00,1100,775.00,18632.84,20495.22,23761.80,69163.00,719
2023-04-03 00:00:00,2023-04-04 00:00:00,1109,143.00,17450.97,19563.05,22140.01,84564.00,735
2023-04-03 00:00:00,2023-04-04 00:00:00,1108,96.00,17035.10,19968.24,22942.40,41621.00,746
2023-04-04 00:00:00,2023-04-05 00:00:00,1120,172.00,36061.38,36068.00,36073.00,36081.00,724
2023-04-04 00:00:00,2023-04-05 00:00:00,1118,31.00,37574.00,37578.00,37582.02,37590.00,719
2023-04-04 00:00:00,2023-04-05 00:00:00,1117,126.00,18214.54,21040.76,22552.03,37713.00,777
2023-04-04 00:00:00,2023-04-05 00:00:00,1116,459.00,15531.14,17872.91,20849.06,61331.00,739
2023-04-04 00:00:00,2023-04-05 00:00:00,1115,1379.00,15052.06,17028.15,21374.25,38139.00,768
2023-04-04 00:00:00,2023-04-05 00:00:00,1114,1723.00,17390.74,18602.56,21315.33,38853.00,695
2023-04-04 00:00:00,2023-04-05 00:00:00,1113,47.00,38512.28,38519.33,38527.52,68458.00,743
2023-04-04 00:00:00,2023-04-05 00:00:00,1112,221.00,17214.40,18626.94,22649.26,51071.00,723
2023-04-04 00:00:00,2023-04-05 00:00:00,1111,174.00,39454.36,39471.23,39478.55,39490.00,743
2023-04-04 00:00:00,2023-04-05 00:00:00,1119,332.00,17444.22,18962.24,22527.44,36947.00,715
2023-04-04 00:00:00,2023-04-05 00:00:00,1091,63.00,49207.98,49215.42,49223.00,77606.00,746
2023-04-04 00:00:00,2023-04-05 00:00:00,1090,63.00,49493.68,49518.98,49529.99,76641.00,742
2023-04-04 00:00:00,2023-04-05 00:00:00,1099,507.00,15450.07,18090.92,22801.52,76084.00,751
2023-04-04 00:00:00,2023-04-05 00:00:00,1110,126.00,17348.51,18709.49,22652.86,63290.00,702
2023-04-04 00:00:00,2023-04-05 00:00:00,1098,2006.00,18040.30,21255.61,23069.74,70387.00,711
2023-04-04 00:00:00,2023-04-05 00:00:00,1097,157.00,18270.14,21244.85,23045.57,77883.00,708
2023-04-04 00:00:00,2023-04-05 00:00:00,1096,126.00,47124.00,47128.52,47135.03,69853.00,754
2023-04-04 00:00:00,2023-04-05 00:00:00,1095,444.00,16629.11,18519.17,22427.89,45521.00,727
2023-04-04 00:00:00,2023-04-05 00:00:00,1094,1314.00,16696.72,18025.76,21232.85,44688.00,709
2023-04-04 00:00:00,2023-04-05 00:00:00,1093,78.00,48569.43,48574.00,48579.00,48586.00,722
2023-04-04 00:00:00,2023-04-05 00:00:00,1092,78.00,48928.03,48933.33,48939.00,60081.00,703
2023-04-04 00:00:00,2023-04-05 00:00:00,1107,206.00,16598.87,17911.25,22339.04,42966.00,762
2023-04-04 00:00:00,2023-04-05 00:00:00,1106,3222.00,16483.58,18433.82,21228.36,76574.00,740
2023-04-04 00:00:00,2023-04-05 00:00:00,1105,174.00,17471.70,19466.81,22330.57,43327.00,741
2023-04-04 00:00:00,2023-04-05 00:00:00,1104,174.00,14865.82,17386.76,21506.13,45112.00,703
2023-04-04 00:00:00,2023-04-05 00:00:00,1103,251.00,14923.83,18092.81,21253.30,70574.00,723
2023-04-04 00:00:00,2023-04-05 00:00:00,1102,3194.00,17839.33,20921.67,23650.92,71165.00,721
2023-04-04 00:00:00,2023-04-05 00:00:00,1101,435.00,15803.31,19218.72,22642.13,45822.00,715
2023-04-04 00:00:00,2023-04-05 00:00:00,1100,2392.00,18736.67,20544.77,23796.20,72014.00,722
2023-04-04 00:00:00,2023-04-05 00:00:00,1109,158.00,17535.27,19987.13,22659.22,84454.00,735
2023-04-04 00:00:00,2023-04-05 00:00:00,1108,127.00,17073.65,19755.51,22814.41,41646.00,741
2023-04-05 00:00:00,2023-04-06 00:00:00,1120,187.00,36088.00,36092.00,36097.78,42627.00,720
2023-04-05 00:00:00,2023-04-06 00:00:00,1118,47.00,37596.04,37601.00,37605.30,37620.00,714
2023-04-05 00:00:00,2023-04-06 00:00:00,1117,850.00,18067.60,20788.55,22568.33,37740.00,709
2023-04-05 00:00:00,2023-04-06 00:00:00,1116,818.00,15927.82,17896.91,20878.64,69380.00,701
2023-04-05 00:00:00,2023-04-06 00:00:00,1115,697.00,15080.45,17035.45,21288.22,38155.00,727
2023-04-05 00:00:00,2023-04-06 00:00:00,1114,3666.00,17459.52,18811.99,21682.21,81610.00,711
2023-04-05 00:00:00,2023-04-06 00:00:00,1113,63.00,38538.16,38544.37,38556.44,68489.00,740
2023-04-05 00:00:00,2023-04-06 00:00:00,1112,237.00,17023.86,18719.45,22455.36,39165.00,723
2023-04-05 00:00:00,2023-04-06 00:00:00,1111,190.00,39476.11,39494.04,39501.88,39512.00,722
2023-04-05 00:00:00,2023-04-06 00:00:00,1119,348.00,17484.97,18998.19,22718.77,36928.00,714
2023-04-05 00:00:00,2023-04-06 00:00:00,1091,79.00,49237.00,49242.00,49247.78,69858.00,737
2023-04-05 00:00:00,2023-04-06 00:00:00,1090,79.00,49521.30,49542.64,49553.43,76084.00,741
2023-04-05 00:00:00,2023-04-06 00:00:00,1110,142.00,17232.10,18502.12,22475.32,41030.00,748
2023-04-05 00:00:00,2023-04-06 00:00:00,1099,539.00,15051.37,18032.10,22500.28,69196.00,749
2023-04-05 00:00:00,2023-04-06 00:00:00,1098,4116.00,17839.05,21166.94,23108.82,70419.00,752
2023-04-05 00:00:00,2023-04-06 00:00:00,1097,175.00,18293.29,21239.15,23069.67,76777.00,743
2023-04-05 00:00:00,2023-04-06 00:00:00,1096,141.00,47146.00,47150.97,47156.72,69775.00,737
2023-04-05 00:00:00,2023-04-06 00:00:00,1095,503.00,16678.02,18714.06,22492.60,45510.00,732
2023-04-05 00:00:00,2023-04-06 00:00:00,1094,1330.00,16665.96,18032.40,21409.19,44719.00,719
2023-04-05 00:00:00,2023-04-06 00:00:00,1093,109.00,48591.74,48597.00,48601.43,48612.00,726
2023-04-05 00:00:00,2023-04-06 00:00:00,1092,78.00,48953.45,48959.52,48964.26,60097.00,745
2023-04-05 00:00:00,2023-04-06 00:00:00,1107,645.00,16310.28,17903.03,22358.08,42982.00,702
2023-04-05 00:00:00,2023-04-06 00:00:00,1106,190.00,16912.00,18450.03,21255.13,76861.00,726
2023-04-05 00:00:00,2023-04-06 00:00:00,1105,190.00,17563.38,19507.08,22348.17,43336.00,722
2023-04-05 00:00:00,2023-04-06 00:00:00,1104,206.00,15193.46,17502.06,21782.19,45137.00,727
2023-04-05 00:00:00,2023-04-06 00:00:00,1103,1758.00,14939.73,18226.53,21280.48,70606.00,725
2023-04-05 00:00:00,2023-04-06 00:00:00,1102,2868.00,17879.86,20948.22,23507.53,45820.00,733
2023-04-05 00:00:00,2023-04-06 00:00:00,1101,2774.00,15918.35,19254.23,22798.55,45849.00,723
2023-04-05 00:00:00,2023-04-06 00:00:00,1100,823.00,18764.12,20498.05,23824.43,69211.00,750
2023-04-05 00:00:00,2023-04-06 00:00:00,1109,190.00,17549.10,19993.36,22712.19,84612.00,744
2023-04-05 00:00:00,2023-04-06 00:00:00,1108,143.00,17107.99,20215.46,22984.62,41668.00,698
2023-04-06 00:00:00,2023-04-07 00:00:00,1120,218.00,36111.00,36116.00,36121.00,42658.00,740
2023-04-06 00:00:00,2023-04-07 00:00:00,1118,63.00,37621.95,37626.00,37630.00,37638.00,750
2023-04-06 00:00:00,2023-04-07 00:00:00,1117,0.00,18111.48,20561.93,22569.29,37756.00,714
2023-04-06 00:00:00,2023-04-07 00:00:00,1116,507.00,15526.53,17702.53,20804.13,69412.00,714
2023-04-06 00:00:00,2023-04-07 00:00:00,1115,713.00,15086.86,17066.84,21076.61,38155.00,733
2023-04-06 00:00:00,2023-04-07 00:00:00,1114,802.00,17448.25,18668.52,21465.38,81642.00,750
2023-04-06 00:00:00,2023-04-07 00:00:00,1113,0.00,38561.00,38568.66,38581.88,68505.00,749
2023-04-06 00:00:00,2023-04-07 00:00:00,1112,519.00,17246.74,18722.19,22714.70,39226.00,724
2023-04-06 00:00:00,2023-04-07 00:00:00,1111,221.00,39500.70,39517.90,39525.00,39536.00,730
2023-04-06 00:00:00,2023-04-07 00:00:00,1119,1334.00,17515.90,18766.56,22647.04,36918.00,746
2023-04-06 00:00:00,2023-04-07 00:00:00,1091,0.00,49261.00,49267.00,49272.00,77669.00,723
2023-04-06 00:00:00,2023-04-07 00:00:00,1090,252.00,49548.53,49567.20,49577.90,76688.00,763
2023-04-06 00:00:00,2023-04-07 00:00:00,1099,851.00,15184.87,18138.85,22848.64,69212.00,742
2023-04-06 00:00:00,2023-04-07 00:00:00,1110,174.00,17251.49,18596.58,22369.89,69870.00,712
2023-04-06 00:00:00,2023-04-07 00:00:00,1098,5562.00,17820.68,21062.65,23101.11,64179.00,700
2023-04-06 00:00:00,2023-04-07 00:00:00,1097,332.00,18495.92,21303.14,23153.83,77931.00,696
2023-04-06 00:00:00,2023-04-07 00:00:00,1096,506.00,47170.00,47174.34,47180.00,69900.00,740
2023-04-06 00:00:00,2023-04-07 00:00:00,1095,519.00,16623.79,18663.18,22465.24,45553.00,732
2023-04-06 00:00:00,2023-04-07 00:00:00,1094,5511.00,16794.45,18060.84,21637.54,44740.00,741
2023-04-06 00:00:00,2023-04-07 00:00:00,1093,0.00,48616.00,48621.00,48625.00,67817.00,751
2023-04-06 00:00:00,2023-04-07 00:00:00,1092,112.00,48977.00,48982.90,48988.00,60128.00,753
2023-04-06 00:00:00,2023-04-07 00:00:00,1107,669.00,16646.33,17972.99,22456.72,43013.00,744
2023-04-06 00:00:00,2023-04-07 00:00:00,1106,32.00,16490.66,18515.50,21276.63,76893.00,755
2023-04-06 00:00:00,2023-04-07 00:00:00,1105,205.00,17515.29,19272.71,22052.16,43364.00,760
2023-04-06 00:00:00,2023-04-07 00:00:00,1104,222.00,14940.18,17336.29,21785.52,45158.00,755
2023-04-06 00:00:00,2023-04-07 00:00:00,1103,298.00,14973.00,18041.71,21305.13,70622.00,713
2023-04-06 00:00:00,2023-04-07 00:00:00,1102,2899.00,17907.07,21841.79,23648.26,66044.00,699
2023-04-06 00:00:00,2023-04-07 00:00:00,1101,482.00,15746.55,19266.02,22836.26,31760.00,726
2023-04-06 00:00:00,2023-04-07 00:00:00,1100,839.00,18741.76,20521.40,23787.29,69227.00,743
2023-04-06 00:00:00,2023-04-07 00:00:00,1109,206.00,17614.55,20464.71,22431.81,84627.00,739
2023-04-06 00:00:00,2023-04-07 00:00:00,1108,776.00,17119.64,20385.12,23011.21,41693.00,713
2023-04-07 00:00:00,2023-04-08 00:00:00,1120,234.00,36135.00,36140.00,36144.75,36159.00,733
2023-04-07 00:00:00,2023-04-08 00:00:00,1118,16.00,37645.00,37649.36,37654.00,37667.00,734
2023-04-07 00:00:00,2023-04-08 00:00:00,1117,1727.00,18116.99,20525.36,22393.83,37776.00,733
2023-04-07 00:00:00,2023-04-08 00:00:00,1116,5121.00,15641.39,17819.65,20870.27,85331.00,716
2023-04-07 00:00:00,2023-04-08 00:00:00,1115,760.00,14982.92,16952.56,21468.37,38202.00,723
2023-04-07 00:00:00,2023-04-08 00:00:00,1114,834.00,17482.13,18618.12,21380.75,81657.00,712
2023-04-07 00:00:00,2023-04-08 00:00:00,1113,16.00,38586.00,38592.77,38606.03,68132.00,719
2023-04-07 00:00:00,2023-04-08 00:00:00,1112,284.00,17133.74,18666.85,21737.95,39258.00,728
2023-04-07 00:00:00,2023-04-08 00:00:00,1111,237.00,39524.04,39542.09,39549.69,39561.00,761
2023-04-07 00:00:00,2023-04-08 00:00:00,1119,1366.00,17516.66,18715.37,22238.10,36939.00,724
2023-04-07 00:00:00,2023-04-08 00:00:00,1091,0.00,49285.97,49291.48,49296.97,77685.00,699
2023-04-07 00:00:00,2023-04-08 00:00:00,1090,269.00,49571.55,49591.60,49601.41,76719.00,713
2023-04-07 00:00:00,2023-04-08 00:00:00,1099,867.00,15531.29,18983.40,22883.28,76147.00,697
2023-04-07 00:00:00,2023-04-08 00:00:00,1110,190.00,17277.67,18550.85,22668.89,63368.00,690
2023-04-07 00:00:00,2023-04-08 00:00:00,1098,2085.00,17847.33,21029.77,23050.73,70450.00,757
2023-04-07 00:00:00,2023-04-08 00:00:00,1097,222.00,18343.15,21312.03,23107.78,76825.00,731
2023-04-07 00:00:00,2023-04-08 00:00:00,1096,204.00,47194.00,47199.86,47205.00,69916.00,723
2023-04-07 00:00:00,2023-04-08 00:00:00,1095,551.00,16681.04,18799.00,22496.05,45585.00,741
2023-04-07 00:00:00,2023-04-08 00:00:00,1094,5543.00,16800.16,18113.45,21660.55,44772.00,736
2023-04-07 00:00:00,2023-04-08 00:00:00,1093,348.00,48640.20,48645.48,48650.00,67849.00,723
2023-04-07 00:00:00,2023-04-08 00:00:00,1092,128.00,49001.33,49007.37,49012.00,60144.00,740
2023-04-07 00:00:00,2023-04-08 00:00:00,1107,285.00,16608.83,18037.28,22410.21,43038.00,727
2023-04-07 00:00:00,2023-04-08 00:00:00,1106,48.00,16778.06,18488.25,21297.19,76909.00,736
2023-04-07 00:00:00,2023-04-08 00:00:00,1105,237.00,17539.74,19207.53,22096.62,68691.00,730
2023-04-07 00:00:00,2023-04-08 00:00:00,1104,238.00,15239.73,17361.16,21837.82,45185.00,702
2023-04-07 00:00:00,2023-04-08 00:00:00,1103,329.00,14572.59,18176.60,21329.73,70654.00,740
2023-04-07 00:00:00,2023-04-08 00:00:00,1102,2931.00,17975.99,21765.76,23734.13,71227.00,731
2023-04-07 00:00:00,2023-04-08 00:00:00,1101,514.00,15977.29,19454.59,23058.02,45896.00,726
2023-04-07 00:00:00,2023-04-08 00:00:00,1100,31.00,18773.52,20554.54,23837.58,72014.00,730
2023-04-07 00:00:00,2023-04-08 00:00:00,1109,237.00,17580.50,20359.85,22315.54,84659.00,743
2023-04-07 00:00:00,2023-04-08 00:00:00,1108,190.00,17152.29,20479.78,23029.22,41716.00,744
2023-04-08 00:00:00,2023-04-09 00:00:00,1120,265.00,36158.93,36164.00,36168.76,42706.00,729
2023-04-08 00:00:00,2023-04-09 00:00:00,1118,31.00,37669.31,37674.00,37678.00,37686.00,722
2023-04-08 00:00:00,2023-04-09 00:00:00,1117,47.00,18136.36,20537.70,22525.39,37804.00,736
2023-04-08 00:00:00,2023-04-09 00:00:00,1116,554.00,15463.28,17909.85,20851.05,60542.00,747
2023-04-08 00:00:00,2023-04-09 00:00:00,1115,776.00,15090.79,17165.92,21491.65,38234.00,714
2023-04-08 00:00:00,2023-04-09 00:00:00,1114,865.00,17488.30,18641.64,21506.08,39009.00,745
2023-04-08 00:00:00,2023-04-09 00:00:00,1113,48.00,38608.50,38616.12,38630.24,68552.00,737
2023-04-08 00:00:00,2023-04-09 00:00:00,1112,4977.00,17063.16,18694.00,21952.85,39239.00,729
2023-04-08 00:00:00,2023-04-09 00:00:00,1111,269.00,39548.56,39566.57,39573.75,39583.00,738
2023-04-08 00:00:00,2023-04-09 00:00:00,1119,2153.00,17544.93,18950.24,22506.62,36991.00,754
2023-04-08 00:00:00,2023-04-09 00:00:00,1091,143.00,49309.00,49315.00,49319.50,69936.00,736
2023-04-08 00:00:00,2023-04-09 00:00:00,1090,31.00,49592.43,49614.55,49626.47,76735.00,750
2023-04-08 00:00:00,2023-04-09 00:00:00,1099,883.00,15181.31,18150.92,22903.95,76178.00,738
2023-04-08 00:00:00,2023-04-09 00:00:00,1110,221.00,17401.05,18791.02,22742.37,68263.00,734
2023-04-08 00:00:00,2023-04-09 00:00:00,1098,2116.00,17947.97,21165.79,22910.57,70482.00,727
2023-04-08 00:00:00,2023-04-09 00:00:00,1097,238.00,18459.24,21250.41,23083.78,75748.00,759
2023-04-08 00:00:00,2023-04-09 00:00:00,1096,502.00,47218.00,47222.12,47228.00,69947.00,742
2023-04-08 00:00:00,2023-04-09 00:00:00,1095,540.00,16998.72,18826.22,22549.51,45333.00,716
2023-04-08 00:00:00,2023-04-09 00:00:00,1094,692.00,16779.63,18093.14,21684.43,44788.00,750
2023-04-08 00:00:00,2023-04-09 00:00:00,1093,0.00,48663.63,48668.83,48673.00,48685.00,739
2023-04-08 00:00:00,2023-04-09 00:00:00,1092,535.00,49024.00,49029.63,49035.61,60176.00,731
2023-04-08 00:00:00,2023-04-09 00:00:00,1107,301.00,16692.90,18074.61,22432.74,43061.00,714
2023-04-08 00:00:00,2023-04-09 00:00:00,1106,3302.00,16535.27,18456.74,21324.47,75894.00,746
2023-04-08 00:00:00,2023-04-09 00:00:00,1105,2013.00,17566.06,19632.76,22424.74,68707.00,733
2023-04-08 00:00:00,2023-04-09 00:00:00,1104,269.00,15014.02,17476.50,21770.10,45205.00,729
2023-04-08 00:00:00,2023-04-09 00:00:00,1103,345.00,14899.65,18195.67,21354.56,70669.00,742
2023-04-08 00:00:00,2023-04-09 00:00:00,1102,2947.00,18034.54,21927.49,23762.16,71258.00,717
2023-04-08 00:00:00,2023-04-09 00:00:00,1101,530.00,15826.61,19359.34,23078.71,45922.00,724
2023-04-08 00:00:00,2023-04-09 00:00:00,1100,47.00,18580.22,20564.29,23815.41,72014.00,710
2023-04-08 00:00:00,2023-04-09 00:00:00,1109,253.00,17568.64,19872.45,22117.10,84675.00,733
2023-04-08 00:00:00,2023-04-09 00:00:00,1108,222.00,17117.51,20158.31,23054.80,41739.00,756
2023-04-09 00:00:00,2023-04-10 00:00:00,1120,281.00,36182.00,36188.00,36193.20,42722.00,763
2023-04-09 00:00:00,2023-04-10 00:00:00,1118,0.00,37694.00,37698.19,37702.00,37715.00,708
2023-04-09 00:00:00,2023-04-10 00:00:00,1117,79.00,18157.89,20878.35,22661.25,37829.00,728
2023-04-09 00:00:00,2023-04-10 00:00:00,1116,570.00,15647.29,17855.82,20973.34,72948.00,741
